hs_code,hs_code_2,hs_code_4,hs_code_6,hs_code_8,hs_description
03.03.49.00,03,0303,030349,03034900,ساير ماهي هاي تن، يخ زده که در جاي ديگري مذکور يا مشمول نباشد باسثناي جگر، تخم و مني ماهي
03.03.53.00,03,0303,030353,03035300,ساردین ها Sardina pilchadus، Sardinops sppساردینلا (Sardinella spp ) شاه ماهی کوچک (Sprattus sprattus)
03.03.53.00,03,0303,030353,03035300,"ساردین ها Sardina pilchadus, Sardinops sppساردینلا (Sardinella spp  ) شاه ماهی کوچک ( Sprattus sprattus )"
03.03.55.00,03,0303,030355,03035500,ماهی جک و هورس مکران (Trachurus spp) یخ زده، به استثنای فیله ماهی و سایر قسمت های گوشت ماهی های مشمول شماره 0304
03.03.59.00,03,0303,030359,03035900,سایر ماهی های به صورت یخ زده، به استثنای فیله ماهی و سایر قسمت های گوشتی ماهی مشمول شماره 0304
03.03.81.00,03,0303,030381,03038100,سگ ماهی و انواع کوسه ها  یخ زده به استثنای فیله ماهی و سایر قسمت های گوشت ماهی  های مشمول شماره 03/04
03.03.82.00,03,0303,030382,03038200,سفره ماهي (Rajidae)
03.03.84.00,03,0303,030384,03038400,ماهی سی باس (Dicentrarchus spp) به صورت یخ زده به استثنای فیله ماهی و سایر قسمت های گوشت ماهی
03.03.84.00,03,0303,030384,03038400,ماهی سی باس ( Dicentrarchus spp ) بصورت یخ زده به استثنای فیله ماهی و سایر قسمت های گوشت ماهی
03.03.89.00,03,0303,030389,03038900,سایر سگ ماهی ها و كوسه ها غیر مذكور در ردیف 030382، 030383، 030384 یخ زده به غیر از جگر و تخم ماهی
03.03.89.00,03,0303,030389,03038900,ساير سگ ماهي ها و كوسه ها غير مذكور در رديف 030382، 030383، 030384 يخ زده به غير از جگر و تخم ماهي
03.03.91.00,03,0303,030391,03039100,جگر ، تخم و منی ماهی بصورت یخ زده
03.03.91.00,03,0303,030391,03039100,جگر، تخم و منی ماهی به صورت یخ زده
03.03.99.00,03,0303,030399,03039900,سا?ر
03.04.39.00,03,0304,030439,03043900,ساير فيله ماهي ها قسمت هاي گوشتي ماهي (حتي قيمه شده ) تازه سرد كرده به استثناي ماهي تيلاپيا گربه ماهي ماهي سوف نيل
03.04.39.00,03,0304,030439,03043900,سایر فیله ماهی ها قسمت های گوشتی ماهی (حتی قیمه شده) تازه سرد كرده به استثنای ماهی تیلاپیا گربه ماهی ماهی سوف نیل
03.04.42.00,03,0304,030442,03044200,انواع ماهی قزل آلا (salmo trutta، oncohynchus mykiss – oncorhynchus clarki، oncorhynchus agua، oncorhynchus gilae – oncoltynchus apache and oncorhynehus chrysogaster) فیله تازه یا سرد شده
03.04.42.00,03,0304,030442,03044200,انواع ماهي قزل آلا (salmo trutta؛ oncohynchus mykiss – oncorhynchus clarki؛ oncorhynchus agua؛ oncorhynchus gilae – oncoltynchus apache and oncorhynehus chrysogaster) فيله تازه يا سرد شده
03.04.49.00,03,0304,030449,03044900,سایر ماهی ها به صورت فیله و سایر قسمت های گوشتی ماهی (حتی قیمه شده) تازه یا سرد کرده یا یخ زده
03.04.49.00,03,0304,030449,03044900,سایر ماهی ها بصورت فیله و سایر قسمت های گوشتی ماهی ( حتی قیمه شده ) تازه یا سرد کرده یا یخ زده
03.04.52.00,03,0304,030452,03045200,ماهي آزاد
03.04.69.00,03,0304,030469,03046900,فیله ماهی و سایر قسمت های گوشتی ماهی ( حتی قیمه شده )، تازه یا سرد کرده یا یخ زده
03.04.82.00,03,0304,030482,03048200,انواع فیله ماهی قزل آلا و قسمت های گوشتی ماهی (حتی قیمه شده)، تازه، سردکرده یا یخ زده
03.04.83.00,03,0304,030483,03048300,فيله منجمد انواع ماهي پهن (Pleuronectidae، Bothidae، Cynoglossidae Scophthalmidae and Citharidae)
03.04.84.00,03,0304,030484,03048400,فیله اره ماهی (Xiphias gladius ) وسایر قسمت های گوشتی ماهی(حتی قیمه شده)، تازه، سرد کرده یا یخ زده
03.04.87.00,03,0304,030487,03048700,انواع فیله تن (of the genus thunnus) بونیتو و سایر قسمت های گوشتی ماهی (حتی قیمه شده)، تازه، سرد کرده یا یخ زده
03.04.88.00,03,0304,030488,03048800,فیله سگ ماهی، سایر کوسه ها، پرتوهاهی ها و چهارگوش ماهی ها ( راجیدا ) تازه، سرد شده یا یخ زده
03.04.89.00,03,0304,030489,03048900,سایر
03.04.89.00,03,0304,030489,03048900,ساير
03.04.99.00,03,0304,030499,03049900,سایر قسمت های گوشتی و فیله ماهی  ( حتی قیمه شده ) ، تازه ، سردکرده یا یخ زده غیر مذکور در جای دیگر
03.04.99.00,03,0304,030499,03049900,سایر قسمت های گوشتی و فیله ماهی (حتی قیمه شده)، تازه، سردکرده یا یخ زده غیر مذکور در جای دیگر
03.05.39.00,03,0305,030539,03053900,ساير
03.05.39.00,03,0305,030539,03053900,سایر
03.05.51.00,03,0305,030551,03055100,ماهی کاد با گونه های (Gadus Morhua، Gadus ogac، Gadus macrocephalus)
03.05.54.00,03,0305,030554,03055400,شاه ماهی ها، ماهی های ساردین، ماهی های ساردینلا، ماهی های مکرل، ماهی های مکرل هندی، سییر فیش ها، ماهی های جک و مکرل هورس، ماهی های جک، کروال ها، ماهی کوبیا، ماهی های پوم فرت نقره ای، ماهی های بادبانی، نیزه ماهی خشک شده، به غیر از دل وجگرخوراکی ماهی، حتی ن
03.05.59.00,03,0305,030559,03055900,ساير ماهي هاي خشك شده، به غير از دل و جگر خوراكي ماهي، حتي نمك زده شده ولي غير دودي و ماهي روغن cod
03.05.59.00,03,0305,030559,03055900,سایر ماهی های خشك شده، به غیر از دل و جگر خوراكی ماهی، حتی نمك زده شده ولی غیر دودی و ماهی روغن cod
03.05.63.00,03,0305,030563,03056300,ماهی کیلکا، خشک کرده، نمک زده یا در آب نمک، ماهی دودی شده
03.06.11.00,03,0306,030611,03061100,خرچنگ صخره ای و سایر خرچنگ های دریائی آب شیرین یا خاردار، یخ زده palinurus گونه،panulirus گونه، گونه gasus گونه)
03.06.11.00,03,0306,030611,03061100,خرچنگ صخره ا ي و ساير خرچنگ هاي دريائي آب شيرين يا خاردا ر، يخ زده palinurus گونه،panulirus گونه، گونه gasus گونه)
03.06.12.00,03,0306,030612,03061200,لابستر دريايي(گونه Homarus)
03.06.16.00,03,0306,030616,03061600,"انواع ميگوي آب سرد (Pandalus spp., Crangon crangon)"
03.06.16.00,03,0306,030616,03061600,انواع میگوی آب سرد (Pandalus spp.، Crangon crangon)
03.06.17.00,03,0306,030617,03061700,ساير انواع ميگو
03.06.17.00,03,0306,030617,03061700,سایر انواع میگو
03.06.31.00,03,0306,030631,03063100,لابستر صخره­ا? و سا?ر خرچنگ­ها? در?ائ?
03.06.32.00,03,0306,030632,03063200,شاه م?گوها (گونه­ها? هوماروس)
03.06.33.00,03,0306,030633,03063300,خرچنگ ها
03.06.33.00,03,0306,030633,03063300,خرچنگ­ها
03.06.35.90,03,0306,030635,03063590,سا?ر
03.06.35.90,03,0306,030635,03063590,سایر
03.06.36.20,03,0306,030636,03063620,پست لارو و میگوی زنده
03.06.36.90,03,0306,030636,03063690,سایر
03.06.93.00,03,0306,030693,03069300,خرچنگ ها
03.06.95.90,03,0306,030695,03069590,سا?ر
03.06.95.90,03,0306,030695,03069590,سایر
03.07.22.00,03,0307,030722,03072200,حلزون ملکه از جنس Pecten Chlamys یا  Placopecten
03.07.22.00,03,0307,030722,03072200,حلزون ملکه از جنس Pecten Chlamys یا Placopecten
03.07.42.00,03,0307,030742,03074200,گربه ماهی و ماهی مرکب زنده، تازه یا سردکرده
03.07.43.00,03,0307,030743,03074300,منجمد
03.07.52.00,03,0307,030752,03075200,اختاپوس (گونهOctopus) منجمد
03.07.92.00,03,0307,030792,03079200,سایر صدفداران منجمد
03.08.19.00,03,0308,030819,03081900,ساير خيارهاي دريايي غير از گونه مذكور در تعرفه 030811 منجمد، خشك شده، نمك سود يا در آب نمك
03.08.30.00,03,0308,030830,03083000,عروس دریایی (Rhopilema spp)
03.08.90.00,03,0308,030890,03089000,
04.01.10.00,04,0401,040110,04011000,"شيروخامه شيرکه ميزا ن موا د چرب  آن  يک درصد وزني بيشتر نباشد,تغليظ نشده  يا شيرين  نشده"
04.01.10.00,04,0401,040110,04011000,شیر و خامه شیرکه میزان مواد چرب آن یک درصد وزنی بیشتر نباشد، تغلیظ نشده یا شیرین نشده
04.01.20.00,04,0401,040120,04012000,شیر و خامه با مواد چرب بیش از 1%و حداکثر 6،% تغلیظ نشده یا شیرین نشده
04.01.20.00,04,0401,040120,04012000,شير و خامه با مواد چرب بيش از1%و حدا کثر6،% تغليظ نشده يا شيرين نشده
04.01.40.00,04,0401,040140,04014000,شیر و خامه شیر كه میزان مواد چرب آن از لحاظ وزنی از 6% بیشتر ولی از 10% بیشتر نباشد تغلیظ نشده یا شیرین نشده
04.01.50.10,04,0401,040150,04015010,خامه شیر
04.01.50.10,04,0401,040150,04015010,خامه شير
04.01.50.11,04,0401,040150,04015011,خامه مایع که میزان مواد چرب آن بیشتر از 10 و حداکثر 18 درصد وزنی باشد در بسته بندی کمتر از 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.12,04,0401,040150,04015012,سایر خامه مایع که میزان مواد چرب آن بیشتر از 10 و حداکثر 18 درصد وزنی باشد در بسته بندی بیشتر از 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.12,04,0401,040150,04015012,سایرخامه مایع که میزان مواد چرب آن بیشتر از 10 و حداکثر 18 درصد وزنی باشد در بسته بندی بیشتر از 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.21,04,0401,040150,04015021,خامه مایع که میزان مواد چرب آن بیشتر از 18 و حداکثر 35 درصد وزنی باشد در بسته بندی کمتراز 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.21,04,0401,040150,04015021,خامه مایع که میزان مواد چرب آن بیشتر از 18 و حداکثر 35 درصد وزنی باشد در بسته بندی کمتر از 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.22,04,0401,040150,04015022,سایرخامه مایع که میزان مواد چرب آن بیشتر از 18 و حداکثر 35 درصد وزنی باشد در بسته بندی بیشتراز 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.22,04,0401,040150,04015022,سایر خامه مایع که میزان مواد چرب آن بیشتر از 18 و حداکثر 35 درصد وزنی باشد در بسته بندی بیشتراز 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.31,04,0401,040150,04015031,خامه مایع که میزان مواد چرب آن بیشتر از 35 و حداکثر 48 درصد وزنی باشد در بسته بندی کمتر از 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.32,04,0401,040150,04015032,سایر خامه مایع که میزان مواد چرب آن بیشتر از 35 و حداکثر 48 درصد وزنی باشد در بسته بندی بیشتراز 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.41,04,0401,040150,04015041,خامه مایع  غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر  در بسته بندی کمتر از 500 گرم که میزان مواد چرب آن بیشتر از 48 درصد وزنی باشد
04.01.50.42,04,0401,040150,04015042,سایر خامه مایع که میزان مواد چرب آن بیشتر از 48 درصد وزنی باشد در بسته بندی بیشتر از 500 گرم غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.50,04,0401,040150,04015050,خامه شیر به صورت پودر غلیظ نشده، بدون افزودن قند یا مواد شیرین کننده دیگر
04.01.50.90,04,0401,040150,04015090,شیر
